species,metabolite,partial_spearman_discovery,partial_spearman_validation,q_bh_family,q_bh_locked,motu_r,motu_p,motu_q,crc_r,crc_p,crc_q,healthy_r,healthy_p,healthy_q,presence_r,presence_p,presence_q,motu_exact,motu_concordant,crc_concordant,presence_concordant,strict_robust
Gemella morbillorum,C02678_Dodecanedioate,-0.2101498344248384,-0.2791396750352345,0.0272867218382418,0.0052913572912233,-0.44447913698205305,3.462100908832514e-18,1.6618084362396068e-16,-0.21736572190619888,0.007748019096827457,0.01652910740656524,-0.10421332395421493,0.2436183056848493,0.2817753897077775,-0.195674340155706,0.00025021127919297025,0.0004141428069400887,True,True,True,True,True
Gemella morbillorum,C00122_Fumarate,0.2152636343345106,0.3139181366226398,0.0250393327059168,0.0021751606787103,0.19541959197010256,0.0002550034730633998,0.00029854065139129737,0.1572004260260208,0.05553880992552252,0.07509472891338256,0.08256570225555393,0.3560878674303419,0.3798270585923647,0.26076530986854085,8.729278277644561e-07,2.8896921194961304e-06,True,True,True,True,True
Gemella morbillorum,C01921_Glycocholate,0.1638441490828964,0.2297578111089446,0.0897628698999332,0.0227253966775902,0.3114455900066516,3.216629015472577e-09,9.357466226829314e-09,0.21905716434410485,0.007272645922068851,0.015867591102695675,0.11763521222519663,0.1877876125188099,0.21984891221714328,0.19914953119830833,0.00019269642916248047,0.0003363428581745113,True,True,True,True,True
Gemella morbillorum,C01042_N-Acetylaspartate,-0.1750639202913123,-0.237493953241669,0.0688344274765139,0.0191453941968372,-0.2536325512798293,1.7604801480868606e-06,2.9650191967778703e-06,-0.18015357271512947,0.02790956110880724,0.042528855022944366,-0.19338043471650554,0.029380358958739795,0.04549216871030678,-0.10049519775126427,0.06186196283105426,0.06526097177781548,True,True,True,True,True
Gemella morbillorum,C02656_Pimelate,-0.265615683778058,-0.1757194135726657,0.0039630499578709,0.0860836326969499,-0.34860426342781203,2.5341450153569806e-11,1.2163896073713505e-10,-0.20950317880576208,0.010338480949682625,0.019460670022932,-0.1384484977018187,0.12059184606972125,0.1447102152836655,-0.15524576466555112,0.0037932877408735294,0.0050577169878313726,True,True,True,True,True
Gemella morbillorum,C00250_Pyridoxal,-0.1834191186489806,-0.2061324462278611,0.0556684888059439,0.0438422691986323,-0.2365646371443566,8.678563476696013e-06,1.3017845215044019e-05,-0.26983550887217345,0.0008747962078619503,0.002999301284098115,0.07632928052667981,0.3936994981486746,0.41533133870629413,-0.13306350785749416,0.013242043586081298,0.01589045230329756,True,True,True,True,True
Gemella morbillorum,C08277_Sebacate,-0.2113525377813563,-0.1998557210906456,0.0268629662389306,0.0505579009381316,-0.386142362954836,9.512462833994729e-14,9.13196432063494e-13,-0.06818057919373627,0.40868897033735324,0.4423325122221415,-0.09515447208242271,0.28726048953069727,0.3169770918959418,-0.1434087801335556,0.0075461850263968564,0.009287612340180745,True,True,True,True,False
Gemella morbillorum,C00042_Succinate,0.2092248357610088,0.1772062777733949,0.0275658867587372,0.0841170016933694,0.2910329817373954,3.512836564673205e-08,7.901793448816739e-08,0.2196625247181387,0.0071089146288229365,0.015867591102695675,0.2279257633727824,0.009960078477927905,0.019513623140430182,0.22521096780793434,2.353046473492402e-05,4.706092946984804e-05,True,True,True,True,True
Gemella morbillorum,C05122_Taurocholate,0.1955798356957311,0.2078694015593336,0.0410253938569774,0.0433434443175753,0.3719046244048963,8.620508006787039e-13,5.911205490368256e-12,0.2663702609768537,0.0010248560522549005,0.0033926269316024295,0.05293200787000289,0.554500292505769,0.5723873987156326,0.27007448856131994,3.3859817410950873e-07,1.4132793354136017e-06,True,True,True,True,True
Gemella morbillorum,C00378_Thiamine,-0.2506743856451521,-0.1853025554245727,0.0073676477949298,0.0680685724248459,-0.2316071142192137,1.349834461516296e-05,1.905648651552418e-05,-0.3879046636759153,1.0193121290137075e-06,2.827053437936493e-05,-0.17165338409227987,0.053649381809673984,0.06959919802336084,-0.10854117751733525,0.04362866502293865,0.047594907297751246,True,True,True,True,True
