family,feature,prevalence_discovery,n_case_discovery,n_control_discovery,p_discovery,rank_biserial_discovery,log2_median_ratio_discovery,n_case_validation,n_control_validation,p_validation,rank_biserial_validation,log2_median_ratio_validation,n_case_all_descriptive,n_control_all_descriptive,p_all_descriptive,rank_biserial_all_descriptive,log2_median_ratio_all_descriptive,q_discovery_family,discovery_candidate,q_validation_candidates,q_all_descriptive,heldout_reproduced,rank_biserial_discovery_ci_low,rank_biserial_discovery_ci_high,rank_biserial_validation_ci_low,rank_biserial_validation_ci_high
microbial_species,Eubacterium brachy,0.2,89,76,0.16670835207300627,0.08752217622708458,0.0,61,51,0.3656657549154899,0.06396657023465124,0.0,150,127,0.09913475123804297,0.0777952755905511,0.0,0.5268893845988136,False,,0.32577847258453413,False,,,,
microbial_species,Bacteroides clarus,0.17575757575757575,89,76,0.16686056941348126,0.0830869308101716,0.0,61,51,0.8555053842788513,-0.014464802314368419,0.0,150,127,0.35165901874646355,0.044304461942257234,0.0,0.5268893845988136,False,,0.6815338504909337,False,,,,
microbial_species,Pseudoflavonifractor capillosus,0.3212121212121212,89,76,0.18321884137492472,0.09994086339444119,0.0,61,51,0.06869961609893087,0.16489874638379942,0.0,150,127,0.03131682029787124,0.12409448818897628,0.0,0.5572906425153961,False,,0.21396304567926383,False,,,,
microbial_species,Ruminococcus torques,1.0,89,76,0.21473794437733407,0.1123595505617978,0.23563327989675534,61,51,0.03442973065376427,0.23304403728704592,0.9277725226856277,150,127,0.02015668492761288,0.16209973753280837,0.5612307385868419,0.5966254688548638,False,,0.19393531762465158,False,,,,
microbial_species,Bacteroides stercoris,0.7090909090909091,89,76,0.22066969396001812,0.1095505617977528,1.1454824110929427,61,51,0.03463453375846891,-0.2295081967213115,-2.8860303912209013,150,127,0.6511086109611014,-0.031181102362204727,-0.39118234633357846,0.5966254688548638,False,,0.8511405992948932,False,,,,
microbial_species,Anaerotruncus colihominis,0.3939393939393939,89,76,0.2176384547753929,0.09846244825547013,0.0,61,51,0.06404195033279933,0.19093539054966246,12.0087787482805,150,127,0.036149007717501194,0.13249343832020988,0.0,0.5966254688548638,False,,0.21396304567926383,False,,,,
microbial_species,Bacteroides salyersiae,0.18181818181818182,89,76,0.20715919637525126,0.0768775872264933,0.0,61,51,0.14977211516130207,-0.11025393764063007,0.0,150,127,0.9779645328601593,0.0013648293963255398,0.0,0.5966254688548638,False,,0.9992462660930604,False,,,,
microbial_species,Clostridium nexile,0.38181818181818183,89,76,0.21289312565403273,0.09861028976936725,0.0,61,51,0.1667706054698328,0.1343619414979107,0.0,150,127,0.06025067185041763,0.11496062992125977,0.0,0.5966254688548638,False,,0.25290909325031385,False,,,,
microbial_species,Megasphaera unclassified,0.2,89,76,0.20724206150788127,-0.0798344175044352,0.0,61,51,0.5386335413327259,0.047251687560269984,0.0,150,127,0.5603098951605167,-0.028346456692913358,0.0,0.5966254688548638,False,,0.8016596883979145,False,,,,
microbial_species,Gemella unclassified,0.3090909090909091,89,76,0.2135318824302398,0.09225310467179182,0.0,61,51,0.6337646842990163,-0.043394406943105146,0.0,150,127,0.5276483579331565,0.036167979002624584,0.0,0.5966254688548638,False,,0.7752989439222489,False,,,,
