family,feature,prevalence_discovery,n_case_discovery,n_control_discovery,p_discovery,rank_biserial_discovery,log2_median_ratio_discovery,n_case_validation,n_control_validation,p_validation,rank_biserial_validation,log2_median_ratio_validation,n_case_all_descriptive,n_control_all_descriptive,p_all_descriptive,rank_biserial_all_descriptive,log2_median_ratio_all_descriptive,q_discovery_family,discovery_candidate,q_validation_candidates,q_all_descriptive,heldout_reproduced
microbial_KO,K00690,0.9939393939393939,89,76,0.18280156766565325,-0.12063867534003547,-0.12569174063771812,61,51,0.002777210999703595,-0.3294760527161684,-0.573421269043695,150,127,0.0038781996810841285,-0.2014698162729659,-0.3961060464904111,0.7330599527060244,False,,0.170408756926953,False
microbial_KO,K05785,0.6909090909090909,89,76,0.18273656309822628,0.11886457717327015,0.8150806088150457,61,51,0.019474326305490182,-0.25233044037287045,-1.5671947421014338,150,127,0.5810260503292897,-0.03790026246719158,-0.08900956705518687,0.7330599527060244,False,,0.9203420859928112,False
microbial_KO,K01654,1.0,89,76,0.18280156766565325,-0.12063867534003547,-0.3278915287927675,61,51,0.22875477904556285,0.1327547412407586,0.3259748486880548,150,127,0.7823781550547974,-0.019317585301837248,-0.15207804624582114,0.7330599527060244,False,,0.9784299460317077,False
microbial_KO,K21469,0.8424242424242424,89,76,0.1830203003871005,-0.12034299231224133,-0.36417780753482826,61,51,0.3201266732622585,-0.10961105753776923,-0.7257568839258628,150,127,0.09380574677860769,-0.11674540682414702,-0.4990870808343813,0.7333650540063006,False,,0.5700417780009718,False
microbial_KO,K02336,0.6060606060606061,89,76,0.1831897421293751,0.11679479597871079,0.5038570776865984,61,51,0.38331511636509463,-0.0916104146576664,-0.46981256013603434,150,127,0.7214303178253325,0.023989501312335904,0.018881068888955698,0.7334723242111507,False,,0.9648944482955135,False
microbial_KO,K11180,0.7212121212121212,89,76,0.18341351648729376,0.1191602602010644,0.10147318709551084,61,51,0.0033265964703423213,0.30954676952748317,1.1988502441342133,150,127,0.004334960924920598,0.19496062992125984,0.48140505605124817,0.7337968002032508,False,,0.17828827292013436,False
microbial_KO,K18324,0.6787878787878788,89,76,0.18410768810289846,0.11827321111768185,0.267012359735614,61,51,0.24482651732273697,-0.1263259402121505,-0.5484207509348857,150,127,0.7561096121829297,0.021364829396325558,0.044800563022328405,0.7354293896946394,False,,0.9732066759271409,False
microbial_KO,K00481,0.24242424242424243,89,76,0.18403879062503692,0.09047900650502672,0.0,61,51,0.2499269479554317,-0.08968177434908386,0.0,150,127,0.759181710220737,0.015748031496062964,0.0,0.7354293896946394,False,,0.9732066759271409,False
microbial_KO,K07717,0.9696969696969697,89,76,0.19265211026369344,0.1179775280898876,0.1488929373704493,61,51,0.005714548656789816,0.30440372870459664,0.22446763957901175,150,127,0.004776129811561441,0.1968503937007875,0.2478965923348361,0.7363978070085705,False,,0.18540728720278538,False
microbial_KO,K03851,0.5818181818181818,89,76,0.18937943011618585,0.11442933175635717,0.2144637783464128,61,51,0.005766468773404136,0.28222436515589844,0.854558313656804,150,127,0.00607948802677661,0.18194225721784774,0.8303926913249918,0.7363978070085705,False,,0.200165856725421,False
microbial_KO,K01556,0.1696969696969697,89,76,0.19109611937028192,0.07746895328208159,0.0,61,51,0.008783411394085916,0.180327868852459,0.0,150,127,0.008753582970559063,0.11748031496062983,0.0,0.7363978070085705,False,,0.22059887280217716,False
