species,metabolite,n_all,beta_joint_all,se_joint_all,p_joint_all,n_crc,beta_joint_crc,se_joint_crc,p_joint_crc,n_healthy,beta_joint_healthy,se_joint_healthy,p_joint_healthy,primary_discovery_r,primary_validation_r,crc_univariable_r,motu_r,presence_r,q_joint_all,q_joint_crc,q_joint_healthy,joint_all_concordant,joint_crc_concordant,independent_crc_candidate,healthy_same_direction,crc_preferential_exploratory
Parvimonas unclassified,C00408_Pipecolate,346,-0.1968043150241086,0.09633105344045204,0.042250072776213975,149,-0.1025812355417457,0.180007903845692,0.5708930653363125,127,-0.4753357467777495,0.14258456414504586,0.0014084005608939727,-0.1748439345836182,-0.3118269417208089,-0.1736227480619396,-0.1219312477836482,-0.268660632761842,0.09506266374648144,0.7715236056958631,0.009218621853124186,True,True,False,True,False
Gemella morbillorum,C02656_Pimelate,346,-0.09835821021224178,0.07537809523177819,0.19330839022792579,149,-0.06832816190880625,0.12236207842942128,0.5786427042718973,127,0.12944529980135955,0.12478227419280513,0.30334955888544746,-0.265615683778058,-0.1757194135726657,-0.209503178805762,-0.348604263427812,-0.1552457646655511,0.25470097952026394,0.7715236056958631,0.5200278152321957,True,True,False,False,False
Gemella morbillorum,C00042_Succinate,346,0.10317272054280746,0.08063602525398207,0.2020796077469047,149,0.05235468978139307,0.15015744354826235,0.7285611344172191,127,0.012692610556340078,0.12890793789583752,0.9218634034515013,0.2092248357610088,0.1772062777733949,0.2196625247181387,0.2910329817373954,0.2252109678079343,0.25470097952026394,0.8926200729943975,0.9760906624780601,True,True,False,True,False
Parvimonas unclassified,C01921_Glycocholate,346,0.10219300527159181,0.08320143466800119,0.22066769452281476,149,-0.05727124266261541,0.1620939673626239,0.7250860229021441,127,0.40707800960682583,0.12622737216391977,0.0019607118998294856,0.2069209321718301,0.2475152582166068,0.2033305638066674,0.1972950569332781,0.1513344264221926,0.2648012334273777,0.8926200729943975,0.011215555932503776,True,False,False,True,False
Peptostreptococcus stomatis,C02656_Pimelate,346,-0.09996389865643418,0.08981106971762938,0.26690866147808145,149,-0.05611014411067616,0.14850547207013207,0.7068886419284677,127,-0.1654148059537044,0.15643629826600172,0.29418675048789283,-0.3419838060259007,-0.2132174516660445,-0.2317225916849928,-0.3684389391370558,-0.2070307933617419,0.30469683830068406,0.8926200729943975,0.5200278152321957,True,True,False,True,False
Gemella morbillorum,C01042_N-Acetylaspartate,346,-0.08971084490495929,0.08180203828384881,0.27398475306948133,149,-0.053687797326530146,0.1557083281818965,0.7314525598148536,127,-0.05944136374949771,0.1405697180888765,0.6737717484359352,-0.1750639202913123,-0.237493953241669,-0.1801535727151294,-0.2536325512798293,-0.1004951977512642,0.30469683830068406,0.8926200729943975,0.8510801032874971,True,True,False,True,False
Parvimonas unclassified,C03592_5-Methyl-2'-deoxycytidine,346,-0.04307822311302971,0.07340250263023486,0.5578909734436537,149,0.04991540574484821,0.13328118097213273,0.7093438215501346,127,-0.15352521389811813,0.11433868095726873,0.18396144111815274,-0.1843047992033984,-0.2415607530057835,-0.1827958913488737,-0.2166788341143451,-0.1509223965882541,0.5738307155420438,0.8926200729943975,0.3784349645859142,True,False,False,True,False
Parvimonas unclassified,C00491_Cystine,346,0.2721905413850201,0.06912570264572915,0.00011059687523021428,149,0.04159050523542085,0.13920962986915775,0.7661541994789736,127,0.7398115602309459,0.08176675095269545,3.57656082297326e-13,0.2098382910109666,0.3684435302165486,0.2423843083803355,0.2734591733153223,0.3617660156831089,0.003981487508287715,0.916828659223373,2.5751237925407472e-11,True,True,False,True,False
Parvimonas unclassified,C05122_Taurocholate,346,0.2049340692738742,0.08049085290722963,0.011581918738996527,149,-0.037765332250797146,0.1552832645862536,0.8086778169936846,127,0.5826730107203675,0.11394506425456685,2.923393488573279e-06,0.3080001849767089,0.3173360872426221,0.2071051672401895,0.2679496982714179,0.275896268349527,0.05211863432548437,0.916828659223373,5.2621082794319025e-05,True,False,False,True,False
Parvimonas unclassified,C00183_Val,346,0.19968076618397135,0.09273588468151668,0.03239412815479591,149,-0.04462222583098652,0.18653069478355142,0.8117488108660423,127,0.4574790880708488,0.1439345783017005,0.002254679330456397,0.2096555515473337,0.278718154422697,0.1553652503437464,0.2327898595384934,0.3003480842262796,0.08785602431030304,0.916828659223373,0.011215555932503776,True,False,False,True,False
Parvimonas unclassified,C01425_Glu-Glu,346,0.1284811436553539,0.08132836009805991,0.11559984624183461,149,0.040798160262480954,0.17356129234600814,0.8149588081985537,127,0.3512097697620109,0.11146046032272594,0.002446421953871218,0.2422526507401242,0.2851630816874721,0.2099007356106827,0.2105132807611311,0.2247089174658712,0.18916338475936573,0.916828659223373,0.011215555932503776,True,True,False,True,False
Gemella morbillorum,C01921_Glycocholate,346,0.08652595492661563,0.07624282063446336,0.257668918273354,149,0.03580904961139242,0.1282779854028778,0.7810881892073935,127,-0.06853602731871078,0.1214519981058163,0.5744590451805118,0.1638441490828964,0.2297578111089446,0.2190571643441048,0.3114455900066516,0.1991495311983083,0.2992284212206691,0.916828659223373,0.7520191136908518,True,True,False,False,False
Parvimonas unclassified,C00037_Gly,346,0.22711852266485888,0.09403532747976116,0.016545276477587675,149,-0.027542766354077264,0.17864240293285558,0.8779866529254241,127,0.7148351251208842,0.13547501434426673,1.5712634344834428e-06,0.1702305021004544,0.2065697583486857,0.1466906963967392,0.1897871692134874,0.3020695384512812,0.0661811059103507,0.9435080449347841,3.7710322427602626e-05,True,False,False,True,False
Parvimonas unclassified,"C03283_2,4-Diaminobutyrate",346,-0.11773110442631829,0.07969552405454405,0.1410422352259864,149,0.02741788370482845,0.16781537177348724,0.8707673499765354,127,-0.32128095111002986,0.1220852486240219,0.010569349474284027,-0.2250592975311087,-0.2062247691169435,-0.1876528862915863,-0.3144025064792272,-0.1693664317868895,0.21831165750032944,0.9435080449347841,0.03623776962611667,True,False,False,True,False
