genus,PRJNA784025_discovery_estimate,PRJNA784025_discovery_se,PRJNA784025_discovery_p,PRJNA784025_discovery_hcc_n,PRJNA784025_discovery_cirrhosis_n,PRJNA784025_validation_estimate,PRJNA784025_validation_se,PRJNA784025_validation_p,PRJNA784025_validation_hcc_n,PRJNA784025_validation_cirrhosis_n,PRJEB54571_external_estimate,PRJEB54571_external_se,PRJEB54571_external_p,PRJEB54571_external_hcc_n,PRJEB54571_external_cirrhosis_n,age_adjusted_estimate,age_adjusted_se_hc3,age_adjusted_p_hc3,age_adjusted_n,random_estimate,random_se,random_ci_low,random_ci_high,random_p,hksj_se_modified,hksj_ci_low_modified,hksj_ci_high_modified,hksj_p_modified,hksj_df,hksj_scale,tau2_dl,q,q_p,i2_percent,three_cohort_direction_concordant,selected_in_discovery_q_lt_0_10,locked_validation_pass,external_age_adjusted_pass
Family XIII AD3011 group,-0.5993466579446538,0.2620347071527769,0.024643189779414168,30,59,-0.39788383773613667,0.30144010675606403,0.19166783233063114,25,40,1.2597059703340125,0.2906563713782059,0.0001068469552788484,95,10,0.9704480844627125,0.3945842450092793,0.013916200298609516,104,0.08495276215167957,0.588091220977743,-1.0677060309646969,1.2376115552680558,0.8851411282863205,0.5888933125256971,-2.4488506564868144,2.6187561807901734,0.8985205533194127,2,1.002729639557661,0.95630167852241,25.67054941483642,2.665084729500696e-06,92.20897080276713,False,False,False,False
Family XIII UCG-001,-0.37622765220774435,0.21458377099594042,0.08435870008087529,30,59,0.6806908285622271,0.2872235019695417,0.021843868185314176,25,40,0.5181019488289269,0.2619984682273166,0.05854886529478587,95,10,0.6350346665367347,0.3116877438634806,0.041609313007871816,104,0.2553491460534321,0.3492498484848661,-0.42918055697690544,0.9398788490837697,0.464696071671697,0.3492498484848661,-1.247351667875941,1.7580499599828052,0.5407523900835405,2,0.9044060944090863,0.30082086763626303,11.398881839905727,0.0033478366430194652,82.45441940631135,False,False,False,False
Flavonifractor,-0.5268255590591933,0.27831363056870095,0.061885047801096583,30,59,-1.2261027132441211,0.2716149865165896,2.8487832836492855e-05,25,40,0.06754693808350007,1.0556329310675812,0.9501614859692993,95,10,0.34130808346531677,1.09012693751693,0.7542121186217804,104,-0.8047534912285487,0.31446236361171775,-1.4210997239075156,-0.18840725854958185,0.010493120711474147,0.31446236361171775,-2.157775838409207,0.5482688559521095,0.12475144175054255,2,0.8988283543942579,0.13911101150992825,4.020835939349803,0.13393268316820292,50.25909959600556,False,False,False,False
Fusicatenibacter,-0.09962089903438276,0.21991089502277206,0.6517461818011843,30,59,-0.31244931589066827,0.2382515383606109,0.19598752451135099,25,40,0.3093799883616377,0.990937134317549,0.7607867415332407,95,10,0.3595025206113539,1.0435564374416946,0.7304722213565102,104,-0.18439796205346518,0.15948914298295813,-0.4969966823000631,0.12820075819313273,0.24760803942137588,0.15948914298295813,-0.8706243584659882,0.5018284343590579,0.3670590426374095,2,0.34288918232524757,0.0,0.6857783646504951,0.7097168563742664,0.0,False,False,False,False
Fusobacterium,0.799819641820421,0.4695777543162512,0.09320890490443147,30,59,-1.280810827078717,0.6325382701689731,0.04823830095410329,25,40,-1.2751446293018815,0.8789758593872908,0.1778093484430344,95,10,-1.13371741059011,0.969698594425714,0.24234557029418313,104,-0.4934779744386637,0.7849538855976154,-2.0319875902099898,1.0450316413326624,0.5295642754849855,0.7849538855976154,-3.870861952990836,2.883906004113509,0.5937903497933259,2,0.8236094898629324,1.4110740634916121,8.92583973371941,0.011528651966321123,77.59314462655496,False,True,False,False
Haemophilus,0.2307006815019419,0.3730210755993581,0.5381492072806502,30,59,-0.20884400000040693,0.4264447866698214,0.6261124522550469,25,40,-0.11592973879539259,1.0498645427699507,0.914184620405397,95,10,0.07344255471404496,1.0545621837876842,0.944478052068466,104,0.02975107419782705,0.2712338091199156,-0.5018671916772075,0.5613693400728617,0.9126568756627245,0.2712338091199156,-1.1372738149978603,1.1967759633935144,0.9226711687180966,2,0.31124987764985845,0.0,0.6224997552997169,0.7325308099210086,0.0,False,False,False,False
Hungatella,-0.03697510956877137,0.26929397795361576,0.8912894076075981,30,59,-0.702071965302737,0.32199784026165423,0.03419881132585104,25,40,0.5824354872314033,0.291349754010197,0.05288228246939846,95,10,0.7059889276933148,0.32587268340550474,0.030276335822484013,104,-0.041670120541340984,0.3548468687185528,-0.7371699832297045,0.6538297421470225,0.9065183009438322,0.36709779868753517,-1.6211644661297089,1.5378242250470269,0.9199919860746875,2,1.070241053343048,0.2911507542278152,8.764205485153795,0.012499048687413961,77.17990520204121,False,False,False,False
Intestinimonas,-0.9240455092647477,0.2653762466866654,0.0007937795840750172,30,59,0.25248705533909543,0.262435826719832,0.34046941459383295,25,40,0.8361082303249564,0.768678022791231,0.2997755607806882,95,10,0.6420116933422259,0.8603537474514195,0.45553556747693047,104,-0.07764523216661658,0.5123393317668316,-1.0818303224296064,0.9265398580963733,0.8795415541512129,0.5123393317668316,-2.2820634565238715,2.1267729921906384,0.8934477463160768,2,0.9623877517291597,0.6032527269912252,12.10766080883583,0.0023488477166530145,83.48153262981684,False,True,False,False
Klebsiella,0.10818532583441387,0.4598542567022269,0.8148307403613421,30,59,-1.2723335393490003,0.40413269503939936,0.0027522638743602435,25,40,-1.428098037882839,0.9201181235008873,0.14998375591052326,95,10,-1.407237967293451,1.046423868394451,0.1786876234314092,104,-0.7753245747062376,0.5339844477621173,-1.8219340923199874,0.27128494290751215,0.14651245901654483,0.5339844477621173,-3.0728742164851983,1.522225067072723,0.28364277342236716,2,0.856763197442827,0.5323497193118919,5.6960824895933735,0.057957734778109275,64.88814894001344,False,False,False,False
Lachnospira,1.9906874737491838,0.3426892042375054,1.8919907916129728e-07,30,59,1.7835066340862156,0.2482081596427467,2.3615502311878268e-09,25,40,-0.33602511161872833,0.8861868517058786,0.7117813354632845,95,10,-0.29338090383810045,0.9417357551185552,0.7553961548278513,104,1.5392022496436908,0.41047497052031956,0.7346713074238644,2.3437331918635174,0.00017697015105118795,0.5691517873680009,-0.9096602418866764,3.9880647411740577,0.1138500099929633,2,1.9225730375631573,0.31062340822768836,6.052369872751499,0.04850031741719176,66.9550929297259,False,True,True,False
