pseudocount,genus,omitted,random_estimate,random_se,random_ci_low,random_ci_high,random_p,hksj_se_modified,hksj_ci_low_modified,hksj_ci_high_modified,hksj_p_modified,hksj_df,hksj_scale,tau2_dl,q,q_p,i2_percent
0.1,[Eubacterium] xylanophilum group,PRJNA784025_discovery,2.0058893710345855,0.6176942367174619,0.7952086670683602,3.216570075000811,0.0011647180019754484,0.6176942367174619,-5.842660065211637,9.854438807280808,0.1901745524024801,1,0.9999999999999999,0.4196920034380637,2.102906146955315,0.14701947038047125,52.44676033460426
0.1,[Eubacterium] xylanophilum group,PRJNA784025_validation,1.7278047969938504,0.3413414436622268,1.0587755674158859,2.396834026571815,4.1529948956347386e-07,0.3413414436622268,-2.6093494712077048,6.0649590651954055,0.12417030786011411,1,0.5517998840581024,0.0,0.5517998840581024,0.4575831937221193,0.0
0.1,[Eubacterium] xylanophilum group,PRJEB54571_external,2.1334545324024288,0.3182183219647873,1.5097466213514457,2.757162443453412,2.0227208501222962e-11,0.3182183219647873,-1.9098926173660247,6.176801682170883,0.0942609629221932,1,1.0,0.029063900900456727,1.1633829384962915,0.28076505206681956,14.043779832930076
0.1,[Ruminococcus] gnavus group,PRJNA784025_discovery,-0.8887189537286222,0.4353574165862721,-1.7420194902377155,-0.035418417219528875,0.041215573374877995,0.4353574165862721,-6.420459422397953,4.643021514940709,0.289987575849136,1,0.08889275732747581,0.0,0.08889275732747581,0.7655895327451228,0.0
0.1,[Ruminococcus] gnavus group,PRJNA784025_validation,0.3043373829340775,0.979535601558578,-1.6155523961207354,2.2242271619888903,0.7560320568920572,0.9795356015585782,-12.14184251709339,12.750517282961546,0.8082245696725786,1,1.0000000000000004,1.1645884894551106,1.8816850363447004,0.1701427559073533,46.85614326069324
0.1,[Ruminococcus] gnavus group,PRJEB54571_external,0.03800039521905011,0.8690194525562857,-1.6652777317912697,1.74127852222937,0.9651212999572182,0.8690194525562857,-11.003938688903252,11.079939479341354,0.9721796776067493,1,1.0,1.3415518688866088,8.907038132919297,0.002840736414726004,88.7729233323463
0.5,Adlercreutzia,PRJNA784025_discovery,-0.1630630625848023,0.8055027564195776,-1.7418484651671742,1.4157223399975698,0.8395755894945394,0.8055027564195777,-10.397946001412349,10.071819876242744,0.8728433924110707,1,1.0000000000000002,1.2144609856661286,15.581109787127124,7.904031635662083e-05,93.58197192842974
0.5,Adlercreutzia,PRJNA784025_validation,-0.1685461538475769,0.8009591161809841,-1.738426021562306,1.401333713867152,0.8333317615422366,0.8009591161809841,-10.345696669554863,10.008604361859708,0.8679622660338456,1,1.0,1.2159553746022267,19.110108622745326,1.2338961964102567e-05,94.76716736811336
0.5,Adlercreutzia,PRJEB54571_external,-0.9694680839380616,0.19244147924722363,-1.34665338326262,-0.5922827846135033,4.7108697536032946e-07,0.19244147924722363,-3.414668919035133,1.4757327511590101,0.1247487548327589,1,0.0005372106287219585,0.0,0.0005372106287219585,0.9815084431691079,0.0
0.5,Agathobacter,PRJNA784025_discovery,0.45859692559587034,0.21893081471034914,0.029492528763586046,0.8877013224281547,0.03619663400706371,0.21893081471034914,-2.3231828292277057,3.240376680419446,0.2835496421394757,1,0.04601581222759761,0.0,0.04601581222759761,0.8301470575301404,0.0
0.5,Agathobacter,PRJNA784025_validation,-0.29135068960650923,0.1963927423090554,-0.6762804645322578,0.09357908531923936,0.13793883657355618,0.1963927423090554,-2.786757082134717,2.2040557029216985,0.3775888445665882,1,0.3382641133747246,0.0,0.3382641133747246,0.560832926391391,0.0
0.5,Agathobacter,PRJEB54571_external,0.07064992481012361,0.3922873267673011,-0.6982332356537866,0.8395330852740337,0.857076109326312,0.3922873267673011,-4.913833164602843,5.055133014223091,0.8865624588182133,1,1.0,0.26247403993794377,6.7825423345026605,0.009205368431866976,85.25626600348633
0.5,Alistipes,PRJNA784025_discovery,0.6819407633939051,1.025995884981654,-1.3290111711701367,2.6928926979579466,0.5062665253566743,1.025995884981654,-12.354573009919825,13.718454536707636,0.6265501410428553,1,0.9999999999999993,1.5848428526453169,3.2840475893791408,0.06995620471262344,69.54977134819617
