genus,omitted,random_estimate,random_se,random_ci_low,random_ci_high,random_p,hksj_se_modified,hksj_ci_low_modified,hksj_ci_high_modified,hksj_p_modified,hksj_df,hksj_scale,tau2_dl,q,q_p,i2_percent
Allisonella,PRJNA784025_validation,0.10584176354214232,0.43983871931587826,-0.756242126316979,0.9679256534012637,0.8098359533394217,0.4398387193158784,-5.482839055095499,5.694522582179784,0.8496636210899305,1,1.0000000000000007,0.23247732434173835,2.2284926383648047,0.13548596929452708,55.12661864865896
Allisonella,PRJEB54571_external,0.38659681307551935,0.19283427629565805,0.008641631536029593,0.7645519946150091,0.04498295953811434,0.19283427629565805,-2.0635949817388264,2.836788607889865,0.2945555047341065,1,0.07004081579617566,0.0,0.07004081579617566,0.7912773616550313,0.0
Anaerostipes,PRJNA784025_discovery,-1.2336917733766186,0.26405441187244466,-1.7512384206466103,-0.7161451261066271,2.9811838463554883e-06,0.26405441187244466,-4.588821192186066,2.121437645432829,0.13423416822346632,1,0.23618668762842898,0.0,0.23618668762842898,0.6269739587613334,0.0
Anaerostipes,PRJNA784025_validation,-0.693850079578272,0.16985300805025574,-1.0267619753567734,-0.3609381837997708,4.407621119546933e-05,0.16985300805025574,-2.8520371749636704,1.4643370158071265,0.15283748580264464,1,1.646844167437961e-06,0.0,1.646844167437961e-06,0.9989760796010065,0.0
Anaerostipes,PRJEB54571_external,-0.9403254799754716,0.2825902023624077,-1.4942022766057907,-0.38644868334515237,0.0008762166447923255,0.2825902023624077,-4.530974447702001,2.650323487751058,0.18585305182042167,1,1.0,0.11111718890060569,3.1535950616492405,0.0757598796119033,68.2901583605021
Anaerotruncus,PRJNA784025_discovery,0.7666842171858596,0.21993747369843725,0.3356067687369226,1.1977616656347965,0.0004904494956615368,0.21993747369843725,-2.027886352840133,3.5612547872118525,0.17785013802953664,1,0.25129220604058766,0.0,0.25129220604058766,0.616166661664706,0.0
Anaerotruncus,PRJNA784025_validation,0.1382380712579114,0.523201519908147,-0.8872369077620568,1.1637130502778796,0.7916136912281794,0.523201519908147,-6.5096675591074575,6.7861437016232795,0.8355529772447088,1,0.9999999999999998,0.475047515645124,7.537847364232125,0.0060416181593830436,86.73361303725645
Anaerotruncus,PRJEB54571_external,0.23970705994993793,0.6345471715472665,-1.0040053962827042,1.4834195161825803,0.7056082816919749,0.6345471715472665,-7.822979216653529,8.302393336553404,0.7700599947324948,1,0.9999999999999998,0.7182818568665468,9.173030704777002,0.0024560750428432167,89.09847756773304
Bacteroides,PRJNA784025_discovery,-0.24145298505897833,0.29394125126322385,-0.817577837534897,0.3346718674169404,0.411399786904986,0.29394125126322385,-3.9763307040925295,3.493424733974573,0.5622132741180779,1,0.9999999999999999,0.09643304687682579,2.1636526867255266,0.14130842842897542,53.78186128784834
Bacteroides,PRJNA784025_validation,-0.20888660946781087,0.33816036651423503,-0.8716809278357116,0.4539077089000898,0.5367634590123869,0.33816036651423503,-4.505621460144598,4.087848241208976,0.6477307500700573,1,0.9999999999999998,0.14866006036703153,2.7580311578454,0.09676726042534962,63.74225152767276
Bacteroides,PRJEB54571_external,0.04160629969012883,0.15868509498308644,-0.26941648647672056,0.3526290858569783,0.793171782278566,0.15868509498308644,-1.974679005785141,2.057891605165399,0.8367565877685181,1,0.0701844623485311,0.0,0.0701844623485311,0.7910683923929221,0.0
Barnesiella,PRJNA784025_discovery,0.7262038814576287,0.3600739034918512,0.020459030613600326,1.431948732301657,0.0437144078783675,0.3600739034918512,-3.848968856556124,5.301376619471381,0.293040095216204,1,0.008115741201892596,0.0,0.008115741201892596,0.9282177549542127,0.0
