"analysis_id","feature_id","platform","contrast","feature_identification","n_pairs","median_log2_difference","mean_log2_difference","paired_dz","wilcoxon_p","paired_t_p","wilcoxon_q","paired_t_q","analysis_pass","wilcoxon_q_eligible_family","paired_t_q_eligible_family","metabolite","mode","matching_mass","rt_minutes","authentic_standard","identification_tier","source","observed_mass","observed_rt_minutes","mass_error","rt_error_minutes","candidate_count","match_status","publisher_identified","promotion_eligible"
"AN001901","758.569679854426_528.516999969482","LCMS_RP_positive","paired_HCC_vs_all_adjacent","unidentified_mz_rt_feature",37,-0.6314487634464,-0.773728509385159,-0.980338168205043,1.05688550045688e-05,7.78327599561822e-07,0.000137214964121817,1.17005168749919e-05,FALSE,NA,NA,"PC(34:2)","ESI_positive",758.57,8.8,FALSE,"putative_level_2_MS2","Supplementary Table S3",758.569679854426,8.80861666615803,-0.422038274715467,0.0086166661580318,2,"high_confidence_mass_rt_match",TRUE,FALSE
"AN001901","758.569679854426_528.516999969482","LCMS_RP_positive","paired_HCC_vs_cirrhotic_adjacent","unidentified_mz_rt_feature",10,-0.67593239696736,-0.591526512598384,-0.658292040779272,0.0831311427008039,0.0670798296010893,0.249284332114615,0.216799732161936,FALSE,NA,NA,"PC(34:2)","ESI_positive",758.57,8.8,FALSE,"putative_level_2_MS2","Supplementary Table S3",758.569679854426,8.80861666615803,-0.422038274715467,0.0086166661580318,2,"high_confidence_mass_rt_match",TRUE,FALSE
"AN001901","788.616644128038_625.260009460449","LCMS_RP_positive","paired_HCC_vs_all_adjacent","unidentified_mz_rt_feature",37,0.954224047487326,0.906705888448764,1.12745942341995,5.21224776917073e-06,5.04374767934213e-08,9.1615278097256e-05,1.55742749287794e-06,FALSE,NA,NA,"PC(36:1)","ESI_positive",788.6164,10.4,FALSE,"putative_level_2_MS2","Supplementary Table S3",788.616644128038,10.4210001576742,0.309565002766966,0.0210001576741501,1,"high_confidence_mass_rt_match",TRUE,FALSE
"AN001901","788.616644128038_625.260009460449","LCMS_RP_positive","paired_HCC_vs_cirrhotic_adjacent","unidentified_mz_rt_feature",10,1.03185530925676,0.912883217815967,1.18493662184594,0.0190588916017305,0.00457510620615254,0.227630199506574,0.161094430083525,FALSE,NA,NA,"PC(36:1)","ESI_positive",788.6164,10.4,FALSE,"putative_level_2_MS2","Supplementary Table S3",788.616644128038,10.4210001576742,0.309565002766966,0.0210001576741501,1,"high_confidence_mass_rt_match",TRUE,FALSE
"AN001901","812.616205910088_616.67599067688","LCMS_RP_positive","paired_HCC_vs_all_adjacent","unidentified_mz_rt_feature",37,2.0146440827252,1.95635707751951,0.764616937521954,0.000143681142301677,4.34251746387911e-05,0.00113210831089425,0.000342187203193953,FALSE,NA,NA,"PC(38:3)","ESI_positive",812.6162,10.3,FALSE,"putative_level_2_MS2","Supplementary Table S3",812.616205910088,10.277933177948,0.00727291420853827,-0.0220668220520004,2,"high_confidence_mass_rt_match",TRUE,FALSE
"AN001901","812.616205910088_616.67599067688","LCMS_RP_positive","paired_HCC_vs_cirrhotic_adjacent","unidentified_mz_rt_feature",10,2.39550833003137,2.12827077049184,0.780636844649055,0.0527870006322246,0.0356526239121368,0.227630199506574,0.192782788216611,FALSE,NA,NA,"PC(38:3)","ESI_positive",812.6162,10.3,FALSE,"putative_level_2_MS2","Supplementary Table S3",812.616205910088,10.277933177948,0.00727291420853827,-0.0220668220520004,2,"high_confidence_mass_rt_match",TRUE,FALSE
"AN001901","814.632003279204_630.294995727539","LCMS_RP_positive","paired_HCC_vs_cirrhotic_adjacent","unidentified_mz_rt_feature",10,0.766027453389874,0.647405896967363,0.55393806265103,0.0665457213437162,0.113737970356012,0.227630199506574,0.292442606680687,FALSE,NA,NA,"PC(38:2)","ESI_positive",814.632,10.5,FALSE,"putative_level_2_MS2","Supplementary Table S3",814.632003279204,10.504916595459,0.00402538086598665,0.00491659545898315,1,"high_confidence_mass_rt_match",TRUE,FALSE
"AN001901","814.632003279204_630.294995727539","LCMS_RP_positive","paired_HCC_vs_all_adjacent","unidentified_mz_rt_feature",37,0.914379907654901,0.860310852240369,0.730211227209956,0.000246405285460494,8.1544529775182e-05,0.00177613904503857,0.000593405256485003,FALSE,NA,NA,"PC(38:2)","ESI_positive",814.632,10.5,FALSE,"putative_level_2_MS2","Supplementary Table S3",814.632003279204,10.504916595459,0.00402538086598665,0.00491659545898315,1,"high_confidence_mass_rt_match",TRUE,FALSE
"AN001902","135.0299427_34.85699845","LCMS_RP_negative","paired_HCC_vs_cirrhotic_adjacent","unidentified_mz_rt_feature",10,0.737373965904525,0.677423619333558,0.758199239118955,0.0527870006322246,0.0400527929299145,0.31249904374277,0.275712249005923,TRUE,0.215778441180848,0.19045511740143,"hypoxanthine","ESI_negative",135.0299,0.6,TRUE,"level_1_authentic_standard","Supplementary Table S3",135.0299427,0.580949974166667,0.316226257995533,-0.0190500258333334,1,"high_confidence_mass_rt_match",TRUE,FALSE
"AN001902","135.0299427_34.85699845","LCMS_RP_negative","paired_HCC_vs_all_adjacent","unidentified_mz_rt_feature",40,0.737373965904525,0.690557082520539,0.568384585914444,0.00222897560101298,0.000900062545941278,0.00856852958311485,0.00375237343096645,TRUE,0.00577057016706695,0.00246723027299197,"hypoxanthine","ESI_negative",135.0299,0.6,TRUE,"level_1_authentic_standard","Supplementary Table S3",135.0299427,0.580949974166667,0.316226257995533,-0.0190500258333334,1,"high_confidence_mass_rt_match",TRUE,TRUE
