gene,mean_logCPM_control,mean_logCPM_GCA,log2FC_GCA_vs_control,welch_t,p_welch,q_bh
SERP1,6.798713392272357,6.405740583209322,-0.39297280906303467,-16.098255329018915,8.775857956134584e-05,0.024641267546082715
TLE2,6.091400549504908,6.829590458318761,0.7381899088138528,17.394619402477776,8.946245361359259e-05,0.024641267546082715
PKP3,7.897237368462831,8.369907655618961,0.4726702871561299,16.294503056441165,8.9632441855046e-05,0.024641267546082715
DCAF11,6.283401248679649,6.917660662177617,0.6342594134979684,29.771643775868718,9.45569501340119e-05,0.024641267546082715
AMOTL2,5.686228535864104,6.631865725838388,0.9456371899742839,16.23765422590212,9.640356450190044e-05,0.024641267546082715
CD274,1.093435561397629,8.193141588161424,7.099706026763795,24.143561981650887,9.642331845740858e-05,0.024641267546082715
EIF3J,5.523255961349357,4.801407887244675,-0.721848074104682,-28.236268988949654,9.650860974384373e-05,0.024641267546082715
RTN2,4.786446073353438,5.742078084536842,0.955632011183404,15.558324886200575,9.96614084266191e-05,0.024641267546082715
PC,4.433733722570903,5.464432987588708,1.0306992650178053,23.70158621633216,0.00010196398162209876,0.024641267546082715
COMT,6.860812933108794,7.5467728451871485,0.6859599120783546,15.783464801790185,0.00010282202665407546,0.024641267546082715
PSMG1,5.151074829921093,4.300541048428051,-0.8505337814930423,-21.20961243409175,0.00010319930303772294,0.024641267546082715
RPF1,6.251587381383661,5.650806648967632,-0.6007807324160295,-15.374209380476856,0.000106747225831532,0.02501641005366736
ZNF101,3.0053243270293026,2.1894480864865815,-0.8158762405427211,-15.765991166782275,0.00011447512941885163,0.026339686596283045
CD164L2,2.574804402089913,3.9829580655451395,1.4081536634552267,17.097073859023496,0.00012281145875830442,0.0274600609007253
SIPA1,7.246335205813736,7.929594075540964,0.6832588697272284,15.184509430116497,0.00012480507977714105,0.0274600609007253
SULT1A1,5.008883341191649,5.732331122448915,0.7234477812572662,14.62901763404812,0.00013243087703952762,0.0274600609007253
MBLAC1,0.9549591880167027,1.579453285784992,0.6244940977682892,14.546128133443766,0.00013308218547411114,0.0274600609007253
SLC9A5,3.0984927663891217,3.873484550156846,0.774991783767724,16.341886705658258,0.0001344601079035829,0.0274600609007253
MT1F,2.2934125086257926,3.1845135278593575,0.8911010192335649,14.383888452372144,0.0001358052853011976,0.0274600609007253
FNDC10,4.667425759988411,5.746044156239968,1.0786183962515574,14.703281261311798,0.00013683794734398844,0.0274600609007253
GSDMD,6.547906973159133,7.447438870159942,0.8995318970008093,15.351746590620609,0.00013819508623015697,0.0274600609007253
MXD4,5.75322938808197,7.652801782836921,1.8995723947549505,14.951938235897064,0.0001388734806516333,0.0274600609007253
BTBD2,8.141701410895843,8.724355306292287,0.5826538953964437,54.19153735336776,0.00014721813255462785,0.028662237961212547
PLEKHG6,5.4428780373111465,5.96745754570987,0.5245795083987232,14.346618440972147,0.0001530560869560439,0.029169218724888264
FAM117A,5.085635792590007,5.833558793427748,0.7479230008377415,18.416841348929,0.0001544320548848292,0.029169218724888264
DCUN1D5,5.898527795751387,5.189785862603047,-0.7087419331483398,-13.82026970926423,0.00015918467380537818,0.029624735985397957
GDPD3,0.5710705622807858,2.0135936404549577,1.442523078174172,13.603884083725113,0.00017071901974764905,0.030448097249228322
CCDC157,2.0641241394212617,2.9059453721548034,0.8418212327335417,14.653474253532195,0.0001735363236976646,0.030448097249228322
LRRC24,2.446788271938143,4.014851323359882,1.5680630514217393,14.410052444354111,0.0001738870510206958,0.030448097249228322
SHISA4,4.775184341359562,5.81023530383687,1.0350509624773077,16.449429707389026,0.0001746482995939136,0.030448097249228322
CLIC3,3.525159935708437,5.784907598050538,2.2597476623421007,14.148510088775705,0.00017650167561378928,0.030448097249228322
DONSON,4.835261393487801,3.8038967373282344,-1.0313646561595662,-13.502798273633475,0.0001780449779883758,0.030448097249228322
PSMG2,6.143945260067022,5.666529254150376,-0.4774160059166457,-13.22449771048897,0.00018891136034954124,0.030849773619015048
SLC25A35,1.9223644952018457,2.7421457492476216,0.8197812540457758,13.222203711397057,0.00019005318253006588,0.030849773619015048
CPA4,5.1326160306608095,3.8385523806435216,-1.294063650017288,-13.369551117219885,0.00019164617962287036,0.030849773619015048
XRCC2,3.733641960929001,2.666731975412159,-1.0669099855168418,-21.177314779691265,0.00019248025811989904,0.030849773619015048
SAMD11,3.2261192607267994,5.194650736173879,1.96853147544708,15.412940953831818,0.000196464767373652,0.030849773619015048
USP4,5.128336429702529,4.542182770332706,-0.5861536593698231,-13.0443798672785,0.00020064373444966737,0.030849773619015048
DENR,5.813156596743142,5.113471416482186,-0.699685180260956,-13.04419177351669,0.000200988620956334,0.030849773619015048
COL9A3,5.097130074551903,6.380134187995613,1.2830041134437096,14.86331662869614,0.00020195111071876222,0.030849773619015048
ABCD1,3.7417768846390715,5.4264574926573,1.6846806080182284,15.77814138617375,0.0002038600319461768,0.030849773619015048
CTNNBIP1,5.526416127477611,6.4008067521031125,0.8743906246255015,18.44771317201345,0.0002047713144209612,0.030849773619015048
TCEA2,4.049994589869663,4.980696616527816,0.9307020266581532,12.899030838807294,0.00021162154746820488,0.03150671392011921
TLE6,2.436365059144547,3.8710602438953,1.434695184750753,13.02080308243324,0.00021813954913131294,0.03160526713861828
SYT8,-0.6767246594561884,0.45020514879020707,1.1269298082463954,15.318312382776028,0.00021876237664000215,0.03160526713861828
BORA,4.452487087766823,3.8328973442132503,-0.6195897435535724,-12.813202109896022,0.00022201641921879887,0.03160526713861828
CUEDC1,6.81130437220144,8.03624587411432,1.2249415019128795,16.26309533693724,0.00022389225554932907,0.03160526713861828
P2RY2,3.3887528909708338,4.376467330563348,0.9877144395925144,13.82578150069836,0.00023068174184345935,0.03160526713861828
TMEM250,6.513564384269163,7.260133646101761,0.7465692618325983,13.766954242937526,0.00023285567291512972,0.03160526713861828
CITED4,3.4035954872055227,5.4907510370750545,2.087155549869532,12.745300897174262,0.00023486623330776753,0.03160526713861828
VPS9D1,2.878526015768907,4.306520594214692,1.4279945784457846,30.781984145838756,0.00023531198336493046,0.03160526713861828
ATG7,5.0148952186837725,4.580956305017133,-0.4339389136666396,-13.915757079947007,0.0002373318611237388,0.03160526713861828
IGFBP2,8.410030397675635,9.338516130728076,0.9284857330524403,16.064042446673312,0.0002416632991535285,0.03160526713861828
TOM1L2,5.395747100262597,6.965465296113199,1.5697181958506015,14.569791951098635,0.00024281209087620296,0.03160526713861828
TBC1D2,4.617643035540819,5.532078869639499,0.91443583409868,13.652350467331427,0.00024360423369256494,0.03160526713861828
CPT1C,2.7520811743783056,3.787267125118012,1.0351859507397063,13.630123814075978,0.00024475038953651455,0.03160526713861828
TSPAN15,4.890356662489693,5.980846442452946,1.090489779963253,19.087422620146338,0.0002543601936048251,0.03225961024384887
TNNT1,7.493446746780254,7.9660932714943335,0.4726465247140794,14.956267903839555,0.00025491592448715033,0.03225961024384887
IFI35,3.612829943036528,4.782144141276778,1.1693141982402495,19.496167607871385,0.0002598256573791525,0.03255538311022945
