celltype,gene,paired_n,median_difference,mean_difference,t_p,wilcoxon_p,t_q_within_celltype
Fibroblast,STAT1,6,0.4079235872607132,0.4859754435299683,0.20425800623748028,0.4375,0.40851601247496055
Fibroblast,STAT2,6,0.31019242723809715,0.5777673286425998,0.27461236554758844,0.4375,0.5047594954418922
Fibroblast,TDO2,6,2.750869739666725,2.7368678610118664,0.11195997978335814,0.09375,0.31731184439367655
Hepatocyte,ABCC2,8,1.836270298841301,1.6115081602297423,0.050388593885655995,0.078125,0.14036822582432743
Hepatocyte,ABCC3,8,-0.7930065157206472,-0.7147182029640186,0.13673238218861417,0.1953125,0.2666281452677976
Hepatocyte,AHR,8,-0.15596126381669517,-0.17597760013511854,0.6970710713115251,0.7421875,0.8495553681609213
Hepatocyte,ARNT,8,-0.15670527521634225,0.09179660878180856,0.7736759619517652,0.9453125,0.8739634765307955
Hepatocyte,AURKB,8,1.2568269943123553,1.2751149660508623,0.01596822726685527,0.0546875,0.13761886170769655
Hepatocyte,BAAT,8,0.38745413204803203,-0.1196531793760981,0.8291448367087035,0.7421875,0.8739634765307955
Hepatocyte,CCNB1,8,2.214661461712793,2.543876120499748,0.014933234073370442,0.015625,0.13761886170769655
Hepatocyte,CCNB2,8,2.8473208032594366,2.5599945831248707,0.03737770839496586,0.0546875,0.13761886170769655
Hepatocyte,CDK1,8,2.5343343661509667,1.7272079712844817,0.08349926858840372,0.1953125,0.18091508194154138
Hepatocyte,CHKA,8,-1.3648477335707283,-0.9761593179761525,0.04330325343190109,0.109375,0.13761886170769655
Hepatocyte,CHKB,8,-0.7246053333070324,-0.6368321378970125,0.03983051636011375,0.0546875,0.13761886170769655
Hepatocyte,CYP27A1,8,0.7385478341654781,-0.014530993487765098,0.9838049378698983,0.9453125,0.9838049378698983
Hepatocyte,CYP8B1,8,-1.3872253025730927,-2.3009591502270945,0.06439404393803431,0.078125,0.15696048209895863
Hepatocyte,FGFR4,8,-0.6416367352297532,-0.319932604136534,0.3158131901218007,0.546875,0.4858240356163654
Hepatocyte,GPCPD1,8,-0.47332843809063485,-0.3805408741691129,0.1567952415579158,0.1953125,0.2911911628932722
Hepatocyte,IFI27,8,-0.8329810125231103,-0.8913508977347097,0.336339716965176,0.4609375,0.4858240356163654
Hepatocyte,IFI6,8,-0.10211101134024592,-0.24955144506931637,0.6106227050915113,0.4609375,0.7836583154564248
Hepatocyte,IFIT1,8,-1.4817514090569426,-1.3608681813381984,0.09729380833329926,0.109375,0.19970834342098268
Hepatocyte,IFIT2,8,-1.4758362433091354,-1.2233319975741228,0.015066697823740585,0.0390625,0.13761886170769655
Hepatocyte,IFIT3,8,-1.0765729109106634,-0.9770109701400489,0.009452345303069857,0.0234375,0.13761886170769655
Hepatocyte,IRF7,8,-0.4222506691857224,-0.9668693312244243,0.045872953902565516,0.0078125,0.13761886170769655
Hepatocyte,ISG15,8,-0.15220548150149016,-0.04060723202176175,0.7748952118096452,0.84375,0.8739634765307955
Hepatocyte,KLB,8,1.4256472454112286,1.5776005182211352,0.031932855950032674,0.0390625,0.13761886170769655
Hepatocyte,LPCAT1,8,-0.35726553351565316,-0.28377677618935715,0.6229078917730556,0.640625,0.7836583154564248
Hepatocyte,MKI67,8,2.0083651874601274,1.0572460479632326,0.23709244431651733,0.3125,0.38527522201434067
Hepatocyte,MX1,8,-0.9338704623969079,-0.9169188859342254,0.01775247946055854,0.0234375,0.13761886170769655
Hepatocyte,NR0B2,8,-0.8188328329354366,-0.9110556461484568,0.20210168806671985,0.1953125,0.34269416672182934
Hepatocyte,NR1H4,8,0.5572086408003032,0.5048671074955418,0.03371401063287972,0.0546875,0.13761886170769655
Hepatocyte,OAS1,8,-0.22442079245400293,-0.6787822281642343,0.33261042607807706,0.4609375,0.4858240356163654
