celltype,program,genes_detected,omitted_patient,retained_n,mean_difference,median_difference,paired_t_p
Hepatocyte,cell_cycle,7,HCC06,7,0.9204109245419229,1.4501748205119935,0.06229833190978304
Hepatocyte,cell_cycle,7,HCC07,7,1.058112136201544,1.4501748205119935,0.029604126497170317
Hepatocyte,cell_cycle,7,HCC08,7,0.7779213023560871,0.965178744814426,0.07682523055059541
Hepatocyte,cell_cycle,7,HCC09,7,0.8511257708708418,0.965178744814426,0.07367238638388197
Hepatocyte,cell_cycle,7,HCC10,7,0.9866343165553363,1.4501748205119935,0.04729825223388215
Myeloid,ahr_aromatic_response,5,HCC03,7,-0.24483620711698098,-0.2257991139108617,0.1865070924951548
Myeloid,ahr_aromatic_response,5,HCC04,7,-0.21976439270387196,-0.2257991139108617,0.18158304061722708
Myeloid,ahr_aromatic_response,5,HCC05,7,-0.3981967200339325,-0.27809442980282856,0.048319869098737755
Myeloid,ahr_aromatic_response,5,HCC06,7,-0.3323608071666177,-0.27809442980282856,0.1218164283818553
Myeloid,ahr_aromatic_response,5,HCC07,7,-0.29109981145590746,-0.2257991139108617,0.1615561568469607
Myeloid,ahr_aromatic_response,5,HCC08,7,-0.3435199030161435,-0.27809442980282856,0.10963630632556101
Myeloid,ahr_aromatic_response,5,HCC09,7,-0.3976568748302517,-0.27809442980282856,0.04889577144556268
Myeloid,ahr_aromatic_response,5,HCC10,7,-0.32489004775347957,-0.2257991139108617,0.1297155380981674
Myeloid,choline_phospholipid_metabolism,8,HCC03,7,-0.3193108342789343,-0.41059734692538447,0.0413821896889204
Myeloid,choline_phospholipid_metabolism,8,HCC04,7,-0.4107445800600979,-0.41059734692538447,0.06890828662241756
Myeloid,choline_phospholipid_metabolism,8,HCC05,7,-0.44865434527447584,-0.4140313429219313,0.05568219758075925
Myeloid,choline_phospholipid_metabolism,8,HCC06,7,-0.4475713711919277,-0.41059734692538447,0.05614920915925002
Myeloid,choline_phospholipid_metabolism,8,HCC07,7,-0.46003927842187675,-0.4140313429219313,0.05055693852700006
Myeloid,choline_phospholipid_metabolism,8,HCC08,7,-0.44816377441782623,-0.41059734692538447,0.05589423579409306
Myeloid,choline_phospholipid_metabolism,8,HCC09,7,-0.5610484680830624,-0.4140313429219313,0.005529248732205496
Myeloid,choline_phospholipid_metabolism,8,HCC10,7,-0.45564511211851383,-0.4140313429219313,0.05257840671575778
Myeloid,type_i_interferon_response,12,HCC03,7,-0.7044914594899446,-0.3603603738283464,0.046980970156353025
Myeloid,type_i_interferon_response,12,HCC04,7,-0.7826589540315031,-0.5042323457545068,0.030340776475102287
Myeloid,type_i_interferon_response,12,HCC05,7,-0.7621058151849088,-0.3603603738283464,0.035309852098034424
Myeloid,type_i_interferon_response,12,HCC06,7,-0.5957523060401699,-0.3603603738283464,0.04646367257762401
Myeloid,type_i_interferon_response,12,HCC07,7,-0.5649182373003828,-0.3603603738283464,0.03655471768462533
Myeloid,type_i_interferon_response,12,HCC08,7,-0.7993413317083905,-0.5042323457545068,0.02619508737109906
Myeloid,type_i_interferon_response,12,HCC09,7,-0.8035436379010433,-0.5042323457545068,0.025147078933804613
Myeloid,type_i_interferon_response,12,HCC10,7,-0.8261613103925255,-0.5042323457545068,0.019570628869822533
Myeloid,cell_cycle,3,HCC03,7,1.3134458624482392,1.484136397593258,0.004263630550557606
Myeloid,cell_cycle,3,HCC04,7,1.2017464199061105,1.475111431951764,0.007560189435026634
Myeloid,cell_cycle,3,HCC05,7,1.427331882762875,1.484136397593258,0.0005585214045125836
Myeloid,cell_cycle,3,HCC06,7,1.3227600031346545,1.484136397593258,0.003895508985308911
Myeloid,cell_cycle,3,HCC07,7,1.1658555169620948,1.475111431951764,0.007630487388738758
Myeloid,cell_cycle,3,HCC08,7,1.2030357007120382,1.484136397593258,0.007545484129397193
Myeloid,cell_cycle,3,HCC09,7,1.1589486723015636,1.475111431951764,0.007562810741560928
Myeloid,cell_cycle,3,HCC10,7,1.1032372787084568,1.475111431951764,0.005972028041843518
T/NK,ahr_aromatic_response,3,HCC03,7,0.9728001557928885,0.7766980442727314,0.08405198117774355
T/NK,ahr_aromatic_response,3,HCC04,7,1.0964048749796296,0.7766980442727314,0.029381231776653232
T/NK,ahr_aromatic_response,3,HCC05,7,0.8721599209404377,0.7766980442727314,0.13184422866442985
T/NK,ahr_aromatic_response,3,HCC06,7,0.8196558294703263,0.45252498563606125,0.15542304566884932
T/NK,ahr_aromatic_response,3,HCC07,7,0.632431710652081,0.45252498563606125,0.21732185095565476
T/NK,ahr_aromatic_response,3,HCC08,7,0.8659662664184221,0.7766980442727314,0.1347006017107055
T/NK,ahr_aromatic_response,3,HCC09,7,0.5793981845700884,0.45252498563606125,0.222257303656354
T/NK,ahr_aromatic_response,3,HCC10,7,0.6754719077411419,0.45252498563606125,0.2077548862299889
T/NK,choline_phospholipid_metabolism,7,HCC03,7,-0.2652523188393318,-0.26907272845243835,0.14073437384614507
T/NK,choline_phospholipid_metabolism,7,HCC04,7,-0.3432136739873532,-0.26907272845243835,0.12572993648125919
T/NK,choline_phospholipid_metabolism,7,HCC05,7,-0.4552391318472181,-0.5244867329839543,0.033060732663738435
